Broker,Stock Symbol,Quantity,Amount,Average Rate
1,ADBL,120.0,60770.0,506.4166666666667
1,AHPC,1760.0,859370.0,488.27840909090907
1,AIL,-10.0,-7240.0,724.0
1,AKJCL,4290.0,1412843.0,329.3340326340326
1,AKPL,5631.0,3485706.0,619.0207778369739
1,ALBSL,-70.0,-101950.0,1456.4285714285713
1,ALICL,-1380.0,-1764577.5,1278.679347826087
1,API,2484.0,1266222.7000000002,509.75148953301135
1,BARUN,-125.0,-62716.0,501.728
1,BFC,-100.0,-53845.0,538.45
1,BNT,-10.0,-120610.0,12061.0
1,BOKL,100.0,32900.0,329.0
1,BPCL,-1400.0,-713120.0,509.37142857142857
1,CBBL,-1290.0,-2217403.8,1718.9176744186045
1,CBL,-360.0,-87535.3,243.15361111111113
1,CFCL,280.0,162765.0,581.3035714285714
1,CHDC,20.0,17390.0,869.5
1,CHL,-600.0,-296000.0,493.3333333333333
1,CIT,-39.0,-132302.0,3392.358974358974
1,CLBSL,0.0,0.0,
1,CMF1,200.0,1938.0,9.69
1,CMF2,1000.0,9900.0,9.9
1,CORBL,313.0,256725.0,820.2076677316294
1,CZBIL,-360.0,-104654.8,290.7077777777778
1,DHPL,140.0,45580.0,325.57142857142856
1,EBL,-1620.0,-1005400.3,620.6174691358025
1,EIC,-60.0,-43006.0,716.7666666666667
1,FMDBL,765.0,695195.0,908.7516339869281
1,FOWAD,-80.0,-225850.0,2823.125
1,GBBL,-1053.0,-648096.0,615.4757834757835
1,GBIME,218.0,80715.0,370.2522935779817
1,GBLBS,195.0,202690.0,1039.4358974358975
1,GFCL,-634.0,-526640.0,830.6624605678234
1,GHL,-88.0,-31941.0,362.96590909090907
1,GIC,-10.0,-6180.0,618.0
1,GILB,24.0,52770.0,2198.75
1,GLH,-100.0,-48300.0,483.0
1,GMFBS,-210.0,-325115.0,1548.1666666666667
1,GMFIL,-22.0,-12078.0,549.0
1,GRDBL,31.0,12524.0,404.0
1,GUFL,-150.0,-127500.0,850.0
1,HDHPC,460.0,152120.0,330.69565217391306
1,HDL,30.0,206400.0,6880.0
1,HGI,45.0,31982.5,710.7222222222222
1,HIDCL,-7644.0,-2410780.0999999996,315.38201203558344
1,HPPL,-210.0,-103100.0,490.95238095238096
1,ICFC,6547.0,5812753.0,887.8498548953719
1,IGI,10.0,10070.0,1007.0
1,ILBS,99.0,165529.0,1672.010101010101
1,JBBL,3177.0,1839831.7000000002,579.1097576329871
1,JBLB,-21.0,-94081.1,4480.052380952381
1,JFL,415.0,317531.0,765.1349397590361
1,JLI,-20.0,-11848.0,592.4
1,JSLBB,-459.0,-1441182.7,3139.831590413943
1,KBL,400.0,102672.0,256.68
1,KKHC,1700.0,595010.0,350.00588235294117
1,KMCDB,140.0,189500.0,1353.5714285714287
1,KRBL,-300.0,-138156.0,460.52
1,KSBBL,336.0,203881.90000000002,606.7913690476191
1,LBBL,2750.0,1830773.7,665.7358909090909
1,LBL,-10.0,-3160.0,316.0
1,LEC,-211.0,-79374.3,376.1815165876777
1,LGIL,260.0,189590.0,729.1923076923077
1,LICN,-79.0,-174540.0,2209.3670886075947
1,LLBS,-297.0,-572308.6,1926.964983164983
1,MBL,-45.0,-14630.0,325.1111111111111
1,MDB,-450.0,-294650.0,654.7777777777778
1,MEGA,-1506.0,-508072.0,337.3652058432935
1,MEN,30.0,34924.0,1164.1333333333334
1,MERO,100.0,141500.0,1415.0
1,MFIL,-60.0,-63553.0,1059.2166666666667
1,MHNL,30.0,13730.0,457.6666666666667
1,MKJC,1140.0,495849.0,434.95526315789476
1,MKLB,-20.0,-36440.0,1822.0
1,MLBL,97.0,66893.0,689.6185567010309
1,MLBSL,-10.0,-50750.0,5075.0
1,MNBBL,-1390.0,-1004056.0,722.3424460431655
1,MNBBLP,98150.0,21593000.0,220.0
1,MPFL,-280.0,-141760.0,506.2857142857143
1,MSLB,57.0,110549.2,1939.459649122807
1,NABIL,1474.0,2284513.0,1549.8731343283582
1,NBB,786.0,256892.0,326.83460559796436
1,NBF2,2000.0,21900.0,10.95
1,NBL,584.0,264350.8,452.65547945205475
1,NCCB,-138.0,-41541.0,301.0217391304348
1,NEF,2000.0,21700.0,10.85
1,NFS,368.0,215464.0,585.5
1,NGPL,3737.0,2917534.0,780.7155472303987
1,NHDL,50.0,27100.0,542.0
1,NHPC,105.0,42051.20000000001,400.48761904761915
1,NICA,74.0,60989.1,824.177027027027
1,NICLBSL,-10.0,-11950.0,1195.0
1,NICSF,1100.0,10285.0,9.35
1,NIFRA,750.0,269652.0,359.536
1,NIL,235.0,297690.0,1266.7659574468084
1,NLIC,290.0,467359.1,1611.5831034482758
1,NLICL,-10.0,-10000.0,1000.0
1,NMB,-456.0,-181560.0,398.1578947368421
1,NMBMF,-100.0,-138500.0,1385.0
1,NMFBS,171.0,578454.0,3382.7719298245615
1,NRIC,40.0,54150.0,1353.75
1,NRN,1546.0,1087984.0,703.7412677878395
1,NTC,-400.0,-470690.0,1176.725
1,OHL,-100.0,-50400.0,504.0
1,PCBL,510.0,238180.0,467.01960784313724
1,PFL,35.0,21825.0,623.5714285714286
1,PICL,-13.0,-9230.0,710.0
1,PLIC,500.0,450000.0,900.0
1,PMHPL,518.0,166919.0,322.23745173745175
1,PPCL,220.0,111760.0,508.0
1,PRIN,100.0,80624.0,806.24
1,PROFL,415.0,175961.0,424.00240963855424
1,PRVU,-2116.0,-772676.5,365.1590264650284
1,PSF,5000.0,47050.0,9.41
1,RADHI,295.0,199120.0,674.9830508474577
1,RHPL,-721.0,-274453.4,380.6565880721221
1,RLFL,-1600.0,-897030.3,560.6439375
1,RLI,-700.0,-364600.0,520.8571428571429
1,RMDC,520.0,768540.0,1477.9615384615386
1,RMF1,1100.0,10292.0,9.356363636363636
1,RSDC,86.0,75185.0,874.2441860465116
1,RURU,-250.0,-257650.0,1030.6
1,SADBL,-200.0,-84350.0,421.75
1,SAEF,-4000.0,-52600.0,13.15
1,SAHAS,1120.0,789439.0,704.85625
1,SANIMA,1133.0,437288.2,385.95604589585173
1,SAPDBL,100.0,40700.0,407.0
1,SBI,500.0,174000.0,348.0
1,SBL,392.0,193707.0,494.1505102040816
1,SCB,594.0,308976.0,520.1616161616162
1,SDLBSL,115.0,151875.0,1320.6521739130435
1,SEF,-8000.0,-84400.0,10.55
1,SFCL,-100.0,-51500.0,515.0
1,SGI,-100.0,-60300.0,603.0
1,SHEL,-20.0,-8550.0,427.5
1,SHINE,-2610.0,-1384167.0,530.332183908046
1,SHIVM,-40.0,-54184.0,1354.6
1,SHL,970.0,223810.0,230.7319587628866
1,SHPC,-300.0,-126600.0,422.0
1,SIC,100.0,130300.0,1303.0
1,SICL,50.0,87150.0,1743.0
1,SIFC,1530.0,799947.0,522.8411764705883
1,SIL,-59.0,-55755.0,945.0
1,SINDU,-550.0,-248200.0,451.27272727272725
1,SJCL,40.0,14708.0,367.7
1,SKBBL,-50.0,-85100.0,1702.0
1,SLI,100.0,52340.0,523.4
1,SMATA,10.0,14580.0,1458.0
1,SPDL,1450.0,698405.0,481.65862068965515
1,SSHL,120.0,48178.0,401.48333333333335
1,SWBBL,50.0,76305.0,1526.1
1,TPC,-10.0,-4833.0,483.3
1,TRH,-300.0,-108300.0,361.0
1,ULI,3935.0,2490745.0,632.9720457433291
1,UMHL,748.0,355560.0,475.3475935828877
1,UMRH,-10.0,-5980.0,598.0
1,UNHPL,160.0,60480.0,378.0
1,UPCL,250.0,103007.5,412.03
1,UPPER,-749.0,-439700.0,587.049399198932
1,VLBS,80.0,133300.0,1666.25
10,ADBL,320.0,162240.0,507.0
10,AHPC,-2100.0,-1029492.0,490.2342857142857
10,AKJCL,-675.0,-223892.5,331.6925925925926
10,AKPL,-3038.0,-1854106.0,610.304805793285
10,API,-1490.0,-761590.0,511.13422818791946
10,BARUN,-400.0,-195400.0,488.5
10,BFC,310.0,168950.0,545.0
10,CBBL,120.0,206285.0,1719.0416666666667
10,CCBL,93.0,21390.0,230.0
10,CFCL,200.0,115900.0,579.5
10,CGH,-90.0,-140160.0,1557.3333333333333
10,CHCL,17.0,10223.400000000001,601.3764705882354
10,CHDC,-20.0,-17300.0,865.0
10,CHL,-132.0,-64020.0,485.0
10,CIT,-18.0,-59585.0,3310.277777777778
10,CLBSL,-18.0,-21078.0,1171.0
10,CZBIL,-600.0,-174950.0,291.5833333333333
10,EBL,70.0,43504.0,621.4857142857143
10,EIC,20.0,14100.0,705.0
10,FOWAD,-124.0,-345960.0,2790.0
10,GBBL,-862.0,-535761.3,621.5328306264502
10,GBIME,270.0,99351.0,367.96666666666664
10,GBLBS,-90.0,-94770.0,1053.0
10,GFCL,-1753.0,-1450739.9,827.5755276668567
10,GIC,-20.0,-12250.0,612.5
10,GLH,-10.0,-4785.0,478.5
10,GWFD83,-25.0,-28750.0,1150.0
10,HDL,20.0,135340.0,6767.0
10,HGI,710.0,504170.0,710.0985915492957
10,HIDCL,1319.0,434262.5,329.2361637604246
10,ICFC,630.0,557990.5,885.6992063492063
10,JBBL,200.0,114500.0,572.5
10,JBLB,-130.0,-584850.0,4498.846153846154
10,JLI,10.0,4875.0,487.5
10,JOSHI,-100.0,-35000.0,350.0
10,JSLBB,30.0,94010.0,3133.6666666666665
10,KBL,400.0,102980.0,257.45
10,KKHC,-10.0,-3490.0,349.0
10,KSBBL,-100.0,-61900.0,619.0
10,LBBL,-891.0,-663120.1000000006,744.2425364758705
10,LBL,100.0,31600.0,316.0
10,LGIL,-100.0,-73220.0,732.2
10,LICN,-100.0,-203900.0,2039.0
10,LLBS,-50.0,-99045.0,1980.9
10,MBL,120.0,38600.0,321.6666666666667
10,MFIL,350.0,368200.0,1052.0
10,MLBBL,-10.0,-19950.0,1995.0
10,MLBL,6364.0,4729154.5,743.1103865493401
10,MNBBL,-440.0,-320370.0,728.1136363636364
10,NABBC,500.0,390000.0,780.0
10,NABIL,220.0,340982.0,1549.918181818182
10,NBB,220.0,71830.0,326.5
10,NBL,-25185.0,-11362273.4,451.15240817947193
10,NCCB,700.0,203210.0,290.3
10,NGPL,-59.0,-836946.5,14185.533898305084
10,NHDL,993.0,539144.0,542.944612286002
10,NHPC,750.0,317930.0,423.9066666666667
10,NICA,-329.0,-271199.0,824.3130699088146
10,NICBF,-43400.0,-461926.0,10.643456221198157
10,NICLBSL,-280.0,-333200.0,1190.0
10,NIFRA,505.0,180354.0,357.13663366336635
10,NIL,10.0,12610.0,1261.0
10,NLIC,751.0,1222256.0,1627.5046604527297
10,NMB,350.0,139870.0,399.62857142857143
10,NMB50,5000.0,60500.0,12.1
10,NMFBS,-193.0,-655597.0,3396.875647668394
10,NRIC,15.0,20855.0,1390.3333333333333
10,NTC,-150.0,-174100.0,1160.6666666666667
10,PBLD84,100.0,99500.0,995.0
10,PCBL,50.0,23500.0,470.0
10,PICL,-141.0,-101097.0,717.0
10,PLI,-20.0,-12070.0,603.5
10,PMHPL,100.0,31700.0,317.0
10,PPCL,-500.0,-253700.0,507.4
10,PRIN,500.0,400000.0,800.0
10,RHPL,-830.0,-316478.0,381.2987951807229
10,RLFL,200.0,113500.0,567.5
10,RLI,20.0,10240.0,512.0
10,RMDC,-232.0,-335534.80000000005,1446.2706896551726
10,RSDC,-21.0,-17839.0,849.4761904761905
10,RURU,-20.0,-20500.0,1025.0
10,SABSL,200.0,407000.0,2035.0
10,SADBL,200.0,82120.0,410.6
10,SAHAS,-1550.0,-1092382.0,704.7625806451613
10,SANIMA,50.0,19200.0,384.0
10,SAPDBL,-346.0,-141952.0,410.26589595375725
10,SBL,900.0,449085.0,498.98333333333335
10,SBLD83,-25.0,-25137.5,1005.5
10,SFCL,355.0,183535.0,517.0
10,SGI,-20.0,-12110.0,605.5
10,SHEL,-40.0,-16946.0,423.65
10,SHINE,250.0,129050.0,516.2
10,SHPC,-10.0,-4220.0,422.0
10,SIC,300.0,388460.0,1294.8666666666666
10,SICL,-16.0,-27984.0,1749.0
10,SINDU,180.0,82417.0,457.8722222222222
10,SKBBL,-1082.0,-1866778.0,1725.3031423290204
10,SLBBL,100.0,117200.0,1172.0
10,SLI,-50.0,-26141.0,522.82
10,SMB,240.0,577850.0,2407.7083333333335
10,SRBL,310.0,89130.0,287.51612903225805
10,SSHL,-160.0,-59040.0,369.0
10,STC,-10.0,-67580.0,6758.0
10,SWBBL,-106.0,-161696.40000000002,1525.437735849057
10,TPC,250.0,120825.0,483.3
10,UIC,-1420.0,-1008200.0,710.0
10,ULI,-420.0,-264021.0,628.6214285714286
10,UMHL,200.0,95400.0,477.0
10,UNHPL,-190.0,-73340.0,386.0
10,UPCL,-100.0,-40800.0,408.0
10,UPPER,-379.0,-223046.0,588.5118733509235
10,VLBS,-150.0,-253000.0,1686.6666666666667
11,ADBL,291.0,147478.8,506.79999999999995
11,AHPC,-395.0,-190090.0,481.24050632911394
11,AIL,320.0,231040.0,722.0
11,AKJCL,230.0,76050.0,330.6521739130435
11,AKPL,-1623.0,-993595.0,612.1965495995071
11,ALICL,-100.0,-128990.0,1289.9
11,API,-3634.0,-1879632.0,517.2350027517887
11,BARUN,50.0,23595.0,471.9
11,BOKL,30.0,9870.0,329.0
11,BPCL,200.0,101475.0,507.375
11,CBBL,305.0,525459.0,1722.816393442623
11,CBL,-414.0,-101064.9,244.11811594202896
11,CCBL,-8.0,-1843.0,230.375
11,CFCL,-190.0,-110700.0,582.6315789473684
11,CGH,-40.0,-61730.0,1543.25
11,CHCL,-259.0,-153951.0,594.4054054054054
11,CHDC,0.0,0.0,
11,CHL,-235.0,-115375.0,490.9574468085106
11,CIT,20.0,66180.0,3309.0
11,CLBSL,-46.0,-52210.0,1135.0
11,CMF1,-2800.0,-27254.0,9.733571428571429
11,CMF2,-2800.0,-27957.96,9.984985714285713
11,CZBIL,230.0,66930.0,291.0
11,DDBL,6.0,7460.0,1243.3333333333333
11,EBL,-1770.0,-1099170.0,621.0
11,FOWAD,83.0,231846.0,2793.3253012048194
11,GBBL,-3122.0,-1925007.6,616.5943625880846
11,GBIME,-2234.0,-829187.4,371.1671441360788
11,GFCL,-387.0,-321212.0,830.0051679586563
11,GHL,100.0,36000.0,360.0
11,GIC,10.0,6040.0,604.0
11,GILB,-10.0,-21810.0,2181.0
11,GRDBL,-450.0,-184288.0,409.5288888888889
11,GUFL,40.0,33991.0,849.775
11,HDHPC,-860.0,-293220.0,340.95348837209303
11,HDL,193.0,1328156.0,6881.637305699482
11,HGI,-180.0,-129420.0,719.0
11,HIDCL,2487.0,730757.5,293.8309207880981
11,ICFC,70.0,61550.0,879.2857142857143
11,ILBS,-12.0,-20400.0,1700.0
11,JBBL,-490.0,-281300.0,574.0816326530612
11,JBLB,20.0,89410.0,4470.5
11,JFL,-504.0,-373290.0,740.6547619047619
11,JLI,-60.0,-35037.0,583.95
11,JOSHI,-250.0,-87555.0,350.22
